Word,DocId:Occurrence
PAÍS,"[(1, 1), (6, 2), (9, 1), (13, 3), (16, 1), (32, 1), (34, 1), (35, 1), (37, 1), (44, 1), (48, 1), (59, 2), (60, 1), (61, 1), (85, 1), (89, 1), (93, 1), (107, 1), (112, 2), (115, 1), (120, 1), (133, 1), (162, 1), (181, 1), (183, 1), (190, 1), (193, 1), (199, 1), (201, 1), (202, 1), (203, 1), (204, 1), (208, 2), (210, 1), (223, 3), (226, 1), (233, 1), (235, 1), (249, 2)]"
Antonio,"[(1, 1), (95, 1), (137, 1), (175, 1), (182, 2), (199, 5), (206, 1), (207, 1), (226, 1)]"
seguimento,"[(1, 1), (221, 1)]"
este,"[(1, 1), (9, 2), (15, 4), (23, 5), (24, 9), (28, 1), (30, 1), (31, 6), (32, 4), (34, 4), (36, 2), (41, 2), (43, 2), (63, 6), (65, 6), (66, 3), (70, 4), (79, 2), (89, 3), (91, 1), (99, 5), (103, 2), (105, 1), (108, 6), (112, 2), (119, 7), (124, 3), (127, 3), (130, 2), (144, 2), (145, 1), (146, 3), (148, 1), (149, 4), (151, 10), (152, 3), (153, 3), (157, 3), (164, 3), (166, 7), (172, 2), (178, 2), (186, 2), (188, 5), (189, 11), (193, 4), (206, 2), (208, 4), (217, 1), (222, 2), (233, 5), (244, 1), (249, 6)]"
limite,"[(1, 2), (31, 2), (45, 1), (101, 1), (107, 1), (111, 2), (119, 1), (124, 2), (130, 1), (135, 1), (137, 2), (166, 3), (217, 1), (244, 1)]"
jornalista,"[(1, 1), (4, 2), (6, 4), (7, 2), (9, 1), (11, 2), (19, 1), (36, 1), (59, 2), (79, 2), (104, 1), (114, 1), (149, 1), (189, 1), (193, 1), (195, 2), (211, 1), (212, 7), (223, 3), (224, 6), (238, 1)]"
procura,"[(1, 1), (6, 4), (41, 1), (60, 1), (95, 2), (97, 1), (142, 1), (160, 1), (166, 1), (198, 1), (208, 1), (221, 1), (232, 2)]"
público,"[(1, 1), (2, 1), (7, 3), (9, 1), (11, 1), (12, 1), (31, 2), (56, 4), (63, 1), (94, 2), (100, 1), (102, 1), (110, 4), (118, 1), (119, 1), (125, 2), (129, 1), (132, 1), (141, 1), (145, 1), (146, 2), (149, 2), (152, 3), (161, 1), (162, 1), (166, 3), (169, 1), (173, 3), (178, 1), (181, 1), (182, 1), (186, 1), (187, 1), (189, 2), (190, 1), (196, 1), (197, 12), (198, 1), (199, 4), (201, 2), (204, 3), (205, 1), (206, 1), (208, 1), (209, 1), (211, 3), (212, 1), (217, 3), (218, 1), (220, 1), (223, 1), (224, 1), (226, 1), (241, 1), (242, 1), (243, 1), (246, 1), (247, 1)]"
existe,"[(1, 1), (3, 1), (14, 1), (18, 1), (19, 1), (24, 2), (25, 2), (29, 2), (31, 1), (45, 1), (47, 1), (82, 1), (84, 1), (87, 1), (88, 1), (89, 3), (119, 1), (124, 1), (130, 1), (137, 1), (151, 1), (152, 1), (157, 1), (164, 1), (169, 1), (172, 1), (180, 1), (182, 1), (197, 1), (201, 1), (202, 1), (207, 2), (211, 3), (215, 1), (217, 2), (218, 1), (221, 7), (235, 2), (236, 1), (237, 1), (248, 2)]"
Congresso,"[(1, 1), (19, 1), (37, 3), (63, 1), (66, 2), (76, 1), (81, 3), (95, 1), (96, 1), (112, 1), (133, 1), (138, 3), (146, 1), (151, 1), (152, 1), (164, 1), (166, 1), (168, 2), (188, 1), (204, 1), (205, 4), (211, 1), (213, 2), (222, 1), (225, 2), (233, 1), (235, 5), (240, 2), (242, 1), (248, 1)]"
referência,"[(1, 1), (10, 1), (18, 1), (22, 1), (63, 2), (65, 1), (75, 1), (80, 1), (95, 1), (101, 1), (109, 1), (110, 1), (143, 1), (187, 1), (189, 3), (206, 1), (215, 1), (225, 1), (240, 1), (248, 2)]"
